Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
PAY;202506051750;19.10;0.00;0.00;67.00;66.30;12.70;218.00;7.60;11.90;957.50;1013.40;1015.10;-;-;-;-;-;-;-;-
PIL;202506051750;7.30;0.00;0.00;24.00;100.00;7.30;232.00;19.40;41.00;790.20;-;1020.50;1503.40;-;-;-;-;-;-;-
PIO;202506051750;13.60;0.00;0.00;57.00;95.80;12.90;280.00;1.10;2.50;904.40;-;1018.40;1510.70;-;-;-;-;-;-;-
COV;202506051750;0.00;0.00;0.00;28.00;98.50;-0.20;158.00;21.20;47.20;683.30;-;1025.40;-;3108.40;-;-;-;-;-;-
PMA;202506051750;4.00;0.00;0.00;38.00;92.50;2.90;198.00;31.70;52.60;738.30;-;1022.70;-;3100.90;-;-;-;-;-;-
PLF;202506051750;15.50;0.00;0.00;33.00;63.30;8.60;245.00;21.20;32.00;897.40;-;1017.00;1502.00;-;-;-;-;-;-;-
ROB;202506051750;13.10;0.00;0.00;7.00;97.10;12.70;45.00;4.30;5.80;896.00;-;1019.80;1520.70;-;-;-;-;-;-;-
PUY;202506051750;19.40;0.00;0.00;74.00;63.50;12.30;4.00;2.90;6.10;961.60;1013.70;1015.40;-;-;-;-;-;-;-;-
QUI;202506051750;-;-;-;-;-;-;66.00;2.50;5.80;965.80;-;1015.40;-;-;-;-;-;-;-;-
ROE;202506051750;8.30;0.00;0.00;20.00;93.10;7.30;3.00;1.40;3.20;811.60;-;1020.90;1512.30;-;-;-;-;-;-;-
RUE;202506051750;16.20;0.00;0.00;110.00;86.50;13.90;42.00;1.40;2.90;943.90;-;1015.50;1495.40;-;-;-;-;-;-;-
SBE;202506051750;9.30;0.00;0.00;34.00;96.50;8.80;0.00;0.00;1.80;837.30;-;1020.50;1514.90;-;-;-;-;-;-;-
HAI;202506051750;16.10;0.00;0.00;87.00;77.20;12.10;212.00;6.50;10.80;932.20;-;1015.90;1497.70;-;-;-;-;-;-;-
SAM;202506051750;10.30;0.00;0.00;14.00;82.80;7.50;213.00;7.90;15.50;830.10;-;1020.50;1512.10;-;-;-;-;-;-;-
SAG;202506051750;16.80;0.00;-;-;81.60;13.60;252.00;4.00;6.50;924.40;-;1016.10;1500.80;-;-;-;-;-;-;-
SHA;202506051750;18.10;0.00;0.00;95.00;72.80;13.10;290.00;3.60;5.00;963.30;1013.80;1015.10;-;-;-;-;-;-;-;-
SRS;202506051750;16.50;0.00;-;-;87.10;14.30;84.00;4.70;8.60;-;-;-;-;-;-;-;-;-;-;-
SCM;202506051750;-;-;-;-;-;-;100.00;13.00;18.70;966.90;-;1015.10;-;-;-;-;-;-;-;-
SPF;202506051750;18.10;0.00;-;64.00;65.10;11.40;185.00;5.40;8.60;929.50;-;1016.10;1504.80;-;-;-;-;-;-;-
SCU;202506051750;14.20;0.00;0.00;25.00;69.30;8.70;257.00;11.50;19.40;870.10;-;1018.00;1502.40;-;-;-;-;-;-;-
SIA;202506051750;8.80;0.00;0.00;8.00;94.70;8.00;227.00;18.40;30.60;821.00;-;1021.10;1516.30;-;-;-;-;-;-;-
SIM;202506051750;-;-;-;-;-;-;116.00;4.00;8.60;853.90;-;1019.60;-;-;-;-;-;-;-;-
SIO;202506051750;21.10;0.00;0.00;30.00;53.00;11.20;239.00;4.30;10.80;957.70;1012.30;1014.40;-;-;-;-;-;-;-;-
PRE;202506051750;-;-;-;-;-;-;232.00;11.50;18.40;-;-;-;-;-;-;-;-;-;-;-
STC;202506051750;-;-;0.00;66.00;-;-;-;-;-;-;-;-;-;-;227.00;0.70;2.20;15.80;79.50;12.30
STG;202506051750;15.40;0.00;0.00;86.00;85.70;13.00;184.00;3.20;6.10;926.10;-;1016.30;1498.60;-;-;-;-;-;-;-
SMM;202506051750;12.70;0.00;0.00;27.00;89.20;11.00;229.00;4.00;7.90;862.40;-;1019.00;1508.60;-;-;-;-;-;-;-
SBO;202506051750;18.20;0.00;0.00;1.00;89.10;16.40;63.00;6.10;10.10;974.30;1015.10;1016.10;-;-;-;-;-;-;-;-
STK;202506051750;-;-;-;-;-;-;226.00;6.50;9.70;967.90;-;1014.90;-;-;-;-;-;-;-;-
SAE;202506051750;4.10;0.00;0.00;105.00;98.90;3.90;242.00;14.80;25.60;753.90;-;1021.60;-;3094.30;-;-;-;-;-;-
THU;202506051750;19.30;0.00;0.00;36.00;72.00;14.10;98.00;5.80;9.70;948.20;1012.80;1015.00;-;-;-;-;-;-;-;-
TIT;202506051750;0.60;-;0.00;72.00;99.50;0.50;199.00;11.50;18.70;700.30;-;1023.70;-;3099.20;-;-;-;-;-;-
UEB;202506051750;-;-;0.00;125.00;-;-;-;-;-;-;-;-;-;-;227.00;11.50;17.60;14.60;81.50;11.50
ULR;202506051750;15.30;0.00;0.00;72.00;56.50;6.70;293.00;3.20;10.40;865.90;-;1018.20;1504.20;-;-;-;-;-;-;-
VAD;202506051750;16.60;0.00;1.00;113.00;88.10;14.60;332.00;0.70;3.20;961.90;1014.80;1015.90;-;-;-;-;-;-;-;-
VAB;202506051750;10.40;0.00;0.00;49.00;99.20;10.30;169.00;7.60;11.20;843.60;-;1019.30;1506.20;-;-;-;-;-;-;-
VLS;202506051750;11.30;0.00;0.00;39.00;99.20;11.20;17.00;3.20;7.20;-;-;-;-;-;-;-;-;-;-;-
VEV;202506051750;19.20;0.00;0.00;75.00;68.50;13.30;81.00;6.50;11.20;-;-;-;-;-;-;-;-;-;-;-
VIO;202506051750;12.70;0.00;0.00;45.00;99.30;12.60;72.00;1.40;2.50;894.60;-;1019.50;1517.40;-;-;-;-;-;-;-
VIT;202506051750;16.60;0.00;-;-;74.60;12.10;220.00;15.50;24.50;-;-;-;-;-;-;-;-;-;-;-
